Kategori_Data,Nama_Metrik,Spesifikasi_atau_Varian,Nilai_Kuantitatif,Satuan_Ukur,Status_Data,Sumber_Instansi_atau_Media,Tautan_Bukti_Referensi,Catatan_Analisis_Tim
Energi Nasional,Harga BBM Pertalite (RON 90),Retail SPBU Nasional,10000.0,IDR/Liter,Aktual,PT Pertamina (Persero),https://mypertamina.id/fuels-harga,Konstanta harga bahan bakar minyak berdasarkan data historis April 2026. Digunakan untuk perhitungan baseline Opex motor bensin.
Energi Nasional,Tarif Dasar Listrik (TDL),Golongan R-1/TR (1.300 VA - 2.200 VA),1444.7,IDR/kWh,Aktual,PT PLN (Persero) / Kementerian ESDM,https://web.pln.co.id/pelanggan/tarif-tenaga-listrik,Acuan standar tarif rumah tangga menengah untuk simulasi biaya charging EV secara mandiri (home charging).
Operasional Kendaraan,Konsumsi BBM Real-World,Honda BeAT Deluxe Smart Key,55.4,km/Liter,Aktual (Uji Jalan Independen),GridOto (Media Otomotif),https://otomotifnet.gridoto.com/read/2324143110/pantesan-laris-manis-segini-konsumsi-bensin-honda-beat,Lebih realistis dibandingkan klaim pabrikan (60.6 km/L). Menghindari overclaim efisiensi pada TCO motor bensin.
Spesifikasi Kendaraan Listrik,Kapasitas Baterai,Polytron Fox R (Subsidi),3.74,kWh,Aktual (Klaim Pabrikan),Situs Resmi Polytron EV,https://polytron.co.id/ev/fox-r/,Parameter utama untuk menghitung daya serap listrik per satu kali siklus pengecasan dari 0 hingga 100%.
Spesifikasi Kendaraan Listrik,Jarak Tempuh Maksimal (Claimed Range),Polytron Fox R (Subsidi),130.0,km/charge,Aktual (Klaim Pabrikan),Situs Resmi Polytron EV,https://polytron.co.id/ev/fox-r/,Dipadukan dengan kapasitas baterai untuk menghasilkan rasio turunan (km/kWh).
Operasional Kendaraan,Efisiensi Daya EV,Polytron Fox R (Subsidi),34.75,km/kWh,Estimasi (Turunan),Perhitungan Mandiri Tim Satria-Fu,https://github.com/maxrumbo/satria-fu-sic2026,Hasil bagi 130 km dengan 3.74 kWh. Acuan utama perhitungan beban listrik per bulan berdasarkan rata-rata jarak tempuh 900 km.
Operasional Kendaraan,Biaya Pemeliharaan & Servis Berkala (Bensin),Honda BeAT (Estimasi Akumulasi Tahunan),450000.0,IDR/Tahun,Estimasi (Berdasarkan Rekomendasi AHASS),PT Astra Honda Motor - After Sales Service,https://www.astra-honda.com/after-sales/service,"Mencakup biaya periodik penggantian oli mesin, oli gardan, busi, filter udara, serta jasa penyetelan berkala sepeda motor konvensional."
Operasional Kendaraan,Biaya Pemeliharaan & Servis Berkala (Listrik),Polytron Fox R (Estimasi Akumulasi Tahunan),150000.0,IDR/Tahun,Estimasi (Survei Komunitas Pengguna EV),Polytron EV / Forum Komunitas Motor Listrik Indonesia,https://polytron.co.id/ev/fox-r/,"Biaya jauh lebih rendah karena tidak membutuhkan komponen habis pakai seperti oli dan busi; hanya mencakup pengecekan sistem kelistrikan, minyak rem, dan kampas rem."
Makroekonomi & Investasi,Tingkat Inflasi Tahunan (YoY),Inflasi Indonesia per Mei 2026,3.55,Persentase (%),Aktual (Historis),Dataset Daily Multi-Asset Macroeconomic / BPS,https://www.bps.go.id/subject/3/inflasi.html,Pijakan fundamental untuk menghitung real return investasi setelah dipotong pelemahan nilai mata uang.
Makroekonomi & Investasi,Compound Annual Growth Rate (CAGR),Indeks S&P 500 (Horizon 5 Tahun: Mei 2021-2026),12.51,Persentase (% p.a.),Aktual (Historis),Dataset Daily Multi-Asset Macroeconomic / Yahoo Finance,https://finance.yahoo.com/quote/%5EGSPC,Digunakan untuk simulasi investasi (Future Value of Annuity) dari dana penghematan bensin yang dialihkan ke instrumen reksa dana indeks/saham.
Regulasi Pemerintah,Subsidi Motor Listrik,Insentif Pembelian Baru (Estimasi Agustus 2026),5000000.0,IDR/Unit,Estimasi (Kebijakan Ditunda),Kemenko Perekonomian / Media Massa,https://news.detik.com/,Rencana subsidi pembelian motor listrik baru (direvisi menjadi Rp 5 juta) namun ditunda hingga Agustus 2026.
Regulasi Pemerintah,Pajak Kendaraan Bermotor (PKB) Bensin,Tarif Dasar Kendaraan Pertama (DKI Jakarta),2.0,Persentase (%),Aktual,Pemprov DKI Jakarta / Permendagri No. 11/2026,https://jakarta.go.id,Asumsi tarif PKB tahunan kendaraan pertama untuk motor bensin.
Regulasi Pemerintah,Pajak Kendaraan Bermotor (PKB) EV,Insentif Daerah (DKI Jakarta Kepgub 446/2026),0.0,Persentase (%),Aktual,Pemprov DKI Jakarta,https://jakarta.go.id,Pembebasan 100% pokok PKB untuk kendaraan berbasis baterai murni (EV).
